Timestamp(us), ax, ay, az, gx, gy, gz
31142883,-48,47,2032,-11,-7,-2
31162872,-47,47,2035,-12,-7,-3
31182861,-46,45,2032,-11,-7,-2
31202850,-46,46,2031,-12,-7,-2
31222839,-44,47,2040,-11,-7,-2
31242828,-45,45,2038,-10,-7,-3
31262817,-46,46,2037,-10,-8,-3
31282806,-48,49,2040,-11,-9,-3
31302795,-45,46,2036,-12,-7,-2
31322784,-47,46,2036,-11,-7,-2
31342773,-48,48,2030,-10,-8,-2
31362762,-47,47,2034,-10,-8,-3
31382751,-51,45,2038,-10,-7,-3
31402740,-49,46,2034,-11,-7,-2
31422729,-45,44,2037,-9,-7,-2
31442718,-48,47,2036,-11,-6,-3
31462707,-48,51,2036,-12,-8,-2
31482696,-49,51,2037,-10,-8,-3
31502685,-47,45,2036,-11,-8,-3
31522674,-47,46,2034,-11,-7,-3
31542663,-47,42,2036,-11,-7,-2
31562652,-46,45,2037,-12,-7,-2
31582641,-46,46,2037,-10,-8,-2
31602630,-47,48,2037,-11,-8,-2
31622619,-46,47,2037,-12,-7,-2
31642608,-47,49,2037,-11,-7,-2
31662597,-47,45,2033,-10,-8,-3
31682586,-46,46,2037,-11,-7,-3
31702575,-48,46,2037,-11,-7,-2
31722564,-46,47,2032,-10,-6,-2
31742553,-45,44,2035,-9,-6,-3
31762542,-47,45,2038,-11,-7,-2
31782531,-49,44,2038,-13,-8,-2
31802520,-48,45,2035,-12,-8,-3
31822509,-48,46,2037,-12,-7,-3
31842498,-45,46,2037,-11,-7,-2
31862487,-45,45,2037,-11,-7,-3
31882476,-46,47,2033,-11,-7,-2
31902465,-47,45,2035,-11,-7,-2
31922454,-46,45,2033,-11,-8,-2
31942443,-44,48,2035,-11,-7,-3
31962432,-49,49,2037,-11,-8,-3
31982421,-47,48,2037,-12,-8,-2
32002410,-44,48,2034,-9,-8,-2
32022399,-43,45,2035,-10,-8,-2
32042388,-47,45,2035,-10,-8,-3
32062377,-46,43,2036,-10,-7,-3
32082366,-48,48,2040,-12,-7,-3
32102355,-47,48,2037,-11,-7,-4
32122344,-49,46,2036,-11,-7,-3
32142333,-49,46,2034,-10,-8,-2
32162322,-49,49,2037,-10,-8,-2
32182312,-50,45,2035,-10,-7,-2
32202301,-46,47,2037,-10,-7,-2
32222290,-48,47,2035,-10,-7,-2
32242279,-48,47,2034,-11,-8,-3
32262268,-44,45,2035,-11,-8,-2
32282257,-45,49,2033,-11,-6,-2
32302246,-43,47,2033,-11,-7,-3
32322235,-46,45,2035,-11,-8,-3
32342224,-45,44,2035,-11,-7,-2
32362213,-47,48,2035,-10,-7,-2
32382202,-47,46,2037,-11,-8,-3
32402191,-48,46,2038,-11,-7,-3
32422180,-47,47,2035,-11,-7,-2
32442169,-48,46,2038,-11,-7,-3
32462158,-46,45,2036,-10,-8,-3
32482147,-43,48,2033,-11,-6,-2
32502136,-46,49,2033,-11,-7,-2
32522125,-45,45,2036,-11,-8,-2
32542114,-45,43,2037,-10,-8,-2
32562103,-46,48,2036,-11,-8,-3
32582092,-46,48,2036,-10,-7,-2
32602081,-47,48,2035,-10,-7,-2
32622070,-44,47,2038,-10,-7,-3
32642059,-46,44,2036,-11,-7,-3
32662048,-48,47,2035,-10,-8,-3
32682037,-46,47,2034,-11,-7,-3
32702026,-49,47,2038,-10,-7,-3
32722015,-48,47,2037,-11,-7,-3
32742004,-46,49,2038,-12,-8,-3
32761993,-45,48,2036,-11,-7,-3
32781982,-47,42,2032,-11,-7,-2
32801971,-47,44,2036,-11,-8,-2
32821960,-46,44,2036,-11,-8,-3
32841949,-48,43,2036,-10,-8,-3
32861938,-47,44,2038,-10,-7,-2
32881927,-46,43,2038,-10,-6,-2
32901916,-48,44,2037,-10,-7,-3
32921905,-49,48,2035,-11,-7,-3
32941894,-48,45,2034,-12,-7,-2
32961883,-46,46,2035,-11,-7,-3
32981872,-47,45,2032,-11,-7,-3
33001861,-48,44,2036,-11,-8,-2
33021850,-162,-3,2037,-7,4,-74
33041839,-106,58,2044,5,-44,-635
33061828,192,74,2033,-21,-65,-438
33081817,-37,88,2028,27,46,45
33101806,183,344,2020,48,21,187
33121795,-44,35,2044,-188,31,179
33141784,169,254,2045,25,-20,-552
33161773,158,326,2029,668,-94,-2381
33181762,-321,-291,2034,-1376,-268,-3467
33201751,-246,-313,2058,248,48,-2810
33221740,283,-750,1996,-530,-240,-132
33241729,-641,-124,2061,164,98,1849
33261718,-13,95,2137,66,-4,218
33281707,94,8,1990,-45,-67,923
33301696,-108,-35,2037,-670,-80,869
33321685,-18,291,2056,-630,-173,540
33341674,19,154,2010,-514,-59,701
33361663,30,20,2069,-443,-4,654
33381652,100,-205,2050,-430,-35,856
33401641,-28,114,2116,-317,-141,890
33421630,130,-203,2064,128,-430,1396
33441619,187,-560,1976,494,-196,1388
33461608,426,-223,2125,990,531,1454
33481597,265,-146,2239,1834,777,2621
33501586,-468,175,2450,2451,1629,4017
33521575,-636,605,2321,2987,2706,4928
33541564,-695,1168,1954,3782,3581,5249
33561553,-446,1257,1776,4056,4093,5802
33581542,-686,991,2248,3724,4258,5700
33601531,-867,844,2238,3089,4169,5156
33621520,-739,1585,1332,2544,4379,4416
33641510,-850,1898,1100,2658,4634,4094
33661499,-366,1247,1684,2898,4223,3847
33681488,-705,1182,1474,2222,3112,3540
33701477,-739,1607,1000,1744,2498,2727
33721466,-789,1911,861,1790,2067,2073
33741455,-976,2052,761,1957,2111,2386
33761444,-696,1634,902,2127,2352,2796
33781433,-639,1259,1044,1745,1908,2150
33801422,-742,1893,571,1096,963,796
