Timestamp(us), ax, ay, az, gx, gy, gz
1435211181,-1002,1034,2042,-488,928,50
1435231170,-988,1066,2078,-590,572,171
1435251159,-1040,1027,1991,-617,614,242
1435271148,-687,952,1558,-751,1171,18
1435291137,-936,1009,1577,-772,2301,-199
1435311126,-1019,1019,1493,-729,3104,-205
1435331115,-1157,803,1253,-655,3159,-127
1435351104,-1453,559,994,-569,2553,25
1435371093,-1079,772,1081,-316,1374,124
1435391082,-1329,808,968,-57,-339,294
1435411071,-1736,726,1165,-200,-1009,320
1435431060,-1396,830,1522,-134,-1391,166
1435451049,-1260,755,1446,84,-1805,-7
1435471038,-1308,711,1272,183,-1566,-84
1435491027,-1192,670,1243,170,-1138,-126
1435511016,-1136,631,1248,88,-1285,-156
1435531005,-1052,630,1331,-35,-1660,-179
1435550994,-913,606,1409,-117,-2069,-205
1435570983,-977,552,1402,-199,-2422,-204
1435590972,-1013,481,1430,-285,-2453,-183
1435610961,-862,454,1439,-423,-2414,-172
1435630950,-702,437,1420,-589,-2350,-170
1435650939,-811,277,1713,-723,-2333,-103
1435670928,-858,311,1737,-756,-1919,-49
1435690917,-807,257,1746,-777,-1506,-11
1435710906,-687,252,1828,-705,-1482,30
1435730895,-481,301,1956,-625,-1886,86
1435750885,-406,287,2290,-439,-2167,148
1435770874,-286,275,2331,-189,-1979,172
1435790863,-138,263,2153,26,-1550,68
1435810852,124,274,2041,141,-1287,-106
1435830841,190,290,1968,198,-1313,-211
1435850830,167,288,1962,233,-1472,-272
1435870819,369,261,2039,269,-1717,-347
1435890808,515,309,1981,264,-1662,-476
1435910797,584,342,1891,196,-1248,-641
1435930786,67,299,1976,133,-705,-652
1435950775,-400,244,1877,-144,226,-468
1435970764,-338,324,1715,-349,497,-250
1435990753,-141,415,2067,-149,167,-37
1436010742,293,483,2466,68,-109,81
1436030731,620,482,2239,246,-245,-120
1436050720,562,382,2007,220,134,-410
1436070709,580,360,1927,122,769,-598
1436090698,471,295,1905,69,867,-665
1436110687,285,253,1958,90,466,-665
1436130676,209,300,1973,115,123,-656
1436150665,186,356,1954,105,-4,-709
1436170654,200,411,2002,84,18,-806
1436190643,207,463,2005,68,-10,-864
1436210632,214,491,1985,60,-95,-905
1436230621,-50,553,1842,70,-59,-884
1436250610,-226,517,1911,19,155,-714
1436270599,-8,469,1991,-37,-37,-599
1436290588,-37,503,1966,9,-401,-464
1436310577,-119,577,1959,6,-290,-327
1436330566,129,742,2039,-13,67,-250
1436350555,735,909,1961,15,-18,-474
1436370544,185,530,1868,-42,-242,-698
1436390533,-166,331,1879,-157,381,-853
1436410522,79,515,1771,-218,1010,-1055
